id,song,album,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_id,date
0Veyvc3n9AcLSoK3r1dA12,Voices In My Head,Hoodie SZN,A Boogie Wit da Hoodie,0.0555,0.754,142301.0,0.663,0.0,6,0.101,-6.311,0,0.427,90.195,4,0.207,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
77JzXZonNumWsuXKy9vr3U,Beasty,Hoodie SZN,A Boogie Wit da Hoodie,0.292,0.86,152829.0,0.418,0.0,7,0.106,-9.061,0,0.158,126.023,4,0.374,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
18yllZD0TdF7ykcREib8Z1,I Did It,Hoodie SZN,A Boogie Wit da Hoodie,0.153,0.718,215305.0,0.454,4.6e-05,8,0.116,-9.012,1,0.127,89.483,4,0.196,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,0.0153,0.581,189487.0,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,0.434,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
0jAfdqv18goRTUxm3ilRjb,Startender (feat. Offset and Tyga),Hoodie SZN,A Boogie Wit da Hoodie,0.0235,0.736,192779.0,0.622,0.0,6,0.151,-4.653,0,0.133,191.971,4,0.506,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
3L19besdNQzd342qL78xqm,Demons and Angels (feat. Juice WRLD),Hoodie SZN,A Boogie Wit da Hoodie,0.0114,0.81,214593.0,0.55,5.69e-06,2,0.107,-7.46,0,0.17,76.503,4,0.183,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
1Gno5IBUHh6vUKp4nxu2Yd,Love Drugs and Sex,Hoodie SZN,A Boogie Wit da Hoodie,0.55,0.762,157863.0,0.553,0.0,5,0.115,-7.207,0,0.112,119.973,4,0.773,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
2A4vCndSkZ3jd5nfh3a8gc,Skeezers,Hoodie SZN,A Boogie Wit da Hoodie,0.558,0.792,198054.0,0.484,0.0,7,0.134,-7.801,0,0.155,140.019,4,0.353,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
1srm5YnZiu7Ksnd2UTTmmk,Savage,Hoodie SZN,A Boogie Wit da Hoodie,0.188,0.78,169046.0,0.402,0.0,5,0.0597,-9.255,0,0.149,160.046,4,0.483,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
3UhRsQVrELOATEiY7E9X2T,Come Closer (feat. Queen Naija),Hoodie SZN,A Boogie Wit da Hoodie,0.22,0.741,156512.0,0.556,0.0,7,0.0981,-6.647,0,0.0947,140.056,4,0.616,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
3Ol2xnObFdKV9pmRD2t9x8,Look Back At It,Hoodie SZN,A Boogie Wit da Hoodie,0.407,0.791,179449.0,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,4,0.536,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
0uH6JssU7mWkTT9mqeqEvL,Just Like Me (feat. Young Thug),Hoodie SZN,A Boogie Wit da Hoodie,0.156,0.774,220888.0,0.623,0.0,5,0.0955,-7.871,1,0.245,128.661,5,0.393,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
02CQH5capUYovYSiSiwKgX,Bosses and Workers (feat. Don Q and Trap Manny),Hoodie SZN,A Boogie Wit da Hoodie,0.358,0.842,207223.0,0.605,0.0,1,0.0843,-6.293,0,0.0559,130.027,4,0.591,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
0sSl9LFCzQAunHx9T1Un3O,Need A Best Friend (feat. Lil Quee and Quando Rondo),Hoodie SZN,A Boogie Wit da Hoodie,0.06,0.696,204329.0,0.52,0.0,0,0.118,-6.361,1,0.294,165.105,4,0.359,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
3TwzcgoO6mbgX3E7Bn1RAy,The Reaper,Hoodie SZN,A Boogie Wit da Hoodie,0.379,0.761,176533.0,0.61,0.0,6,0.123,-7.039,1,0.094,141.955,4,0.479,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
3mUk1wiSBpiuK4oSSyDmTQ,Uptown / Bustdown (feat. PnB Rock and Lil Durk),Hoodie SZN,A Boogie Wit da Hoodie,0.215,0.503,177763.0,0.751,0.0,6,0.0551,-5.785,0,0.35,90.04,4,0.324,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
0OAyZn9pGuuL2FJih1PM58,Billie Jean,Hoodie SZN,A Boogie Wit da Hoodie,0.0919,0.83,138014.0,0.536,0.0,4,0.102,-6.324,0,0.152,139.961,4,0.375,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
5h66wqaGklsSa8eSxTwcJT,4 Min Convo (Favorite Song),Hoodie SZN,A Boogie Wit da Hoodie,0.359,0.705,257274.0,0.65,0.0,7,0.169,-5.654,0,0.212,91.053,4,0.658,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
7MuhbSNErlmQAGRzhnnIjT,Odee,Hoodie SZN,A Boogie Wit da Hoodie,0.208,0.854,160868.0,0.48,0.0,9,0.127,-7.388,0,0.293,86.049,4,0.293,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
76vviJBqmRdMMb9u9npgfj,Pull Up (feat. NAV),Hoodie SZN,A Boogie Wit da Hoodie,0.487,0.828,193575.0,0.37,0.0,7,0.119,-7.446,0,0.264,149.95,4,0.557,3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21
2t8yVaLvJ0RenpXUIAC52d,a lot,I Am > I Was,21 Savage,0.0395,0.837,288624.0,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.274,007DWn799UWvfY1wwZeENR,2018-12-21
5ZSIExfQuVv69tw5Qw3yDl,break da law,I Am > I Was,21 Savage,0.0493,0.904,177748.0,0.575,0.0,1,0.256,-7.823,1,0.346,141.039,4,0.359,007DWn799UWvfY1wwZeENR,2018-12-21
6ho88pvz4c8WCSFbdVXNia,a&t,I Am > I Was,21 Savage,0.00169,0.924,211588.0,0.567,0.0,5,0.0898,-5.009,1,0.0964,146.975,4,0.827,007DWn799UWvfY1wwZeENR,2018-12-21
0ZKKJTv21zJpNrKiL0LYyV,out for the night,I Am > I Was,21 Savage,0.001,0.841,137232.0,0.695,4.26e-05,9,0.189,-5.625,1,0.415,173.368,4,0.408,007DWn799UWvfY1wwZeENR,2018-12-21
4f1XXGjZZ9EkFkrbPJek6X,gun smoke,I Am > I Was,21 Savage,0.000832,0.809,167410.0,0.461,4.43e-05,10,0.143,-5.677,0,0.0907,85.992,4,0.325,007DWn799UWvfY1wwZeENR,2018-12-21
2wOXxtHZgRkkrkEbKLzzqs,1.5,I Am > I Was,21 Savage,0.000244,0.885,148656.0,0.52,1.16e-06,1,0.454,-8.353,1,0.359,84.022,4,0.306,007DWn799UWvfY1wwZeENR,2018-12-21
4paAidoE8VAemwU4jgCc6l,all my friends,I Am > I Was,21 Savage,0.171,0.713,211785.0,0.62,1.16e-06,0,0.118,-4.513,1,0.0422,130.09,4,0.206,007DWn799UWvfY1wwZeENR,2018-12-21
0hPLZrnDgtKxrym1BHjDhd,can't leave without it,I Am > I Was,21 Savage,0.111,0.872,205352.0,0.591,0.0,6,0.144,-6.952,0,0.359,131.982,4,0.696,007DWn799UWvfY1wwZeENR,2018-12-21
2QgfDF0fQ4sskDthP8MG5w,asmr,I Am > I Was,21 Savage,0.0399,0.84,171714.0,0.543,0.0,1,0.117,-7.738,1,0.476,170.067,4,0.161,007DWn799UWvfY1wwZeENR,2018-12-21
50a8bKqlwDEqeiEknrzkTO,ball w/o you,I Am > I Was,21 Savage,0.0467,0.892,195047.0,0.633,0.000189,8,0.139,-7.471,1,0.0902,137.994,4,0.459,007DWn799UWvfY1wwZeENR,2018-12-21
2LqoYvMudv9xoTqNLFKILj,good day,I Am > I Was,21 Savage,0.00359,0.966,242448.0,0.519,0.0,1,0.254,-5.682,1,0.306,122.195,4,0.119,007DWn799UWvfY1wwZeENR,2018-12-21
5stbfxsPi8gcOH2LCuA4Le,pad lock,I Am > I Was,21 Savage,0.0187,0.96,191360.0,0.55,0.0,5,0.112,-8.012,0,0.197,130.022,4,0.798,007DWn799UWvfY1wwZeENR,2018-12-21
2FUNBaa5DwItJtYEBgAblU,monster,I Am > I Was,21 Savage,0.158,0.89,233040.0,0.607,0.000228,9,0.118,-6.916,0,0.124,134.022,4,0.224,007DWn799UWvfY1wwZeENR,2018-12-21
55xNjVrGJxgqcEFqCyejTM,letter 2 my momma,I Am > I Was,21 Savage,0.0531,0.864,194810.0,0.608,1.2e-05,1,0.078,-10.567,0,0.275,80.225,4,0.963,007DWn799UWvfY1wwZeENR,2018-12-21
1uULQtJ8rbsX5TwjPpPc9Q,4L,I Am > I Was,21 Savage,0.000897,0.879,288364.0,0.41,2.09e-05,8,0.108,-9.233,1,0.551,80.011,4,0.0703,007DWn799UWvfY1wwZeENR,2018-12-21
5zsHmE2gO3RefVsPyw2e3T,What's Up Danger (with Black Caviar),Spider-Man: Into The Spider-Verse,Soundtrack,0.00363,0.701,222307.0,0.755,0.000795,2,0.121,-5.82,1,0.0417,95.036,4,0.116,35s58BRTGAEWztPo9WqCIs,2018-12-14
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into The Spider-Verse,Soundtrack,0.556,0.76,158040.0,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913,35s58BRTGAEWztPo9WqCIs,2018-12-14
7cFFhb9Wz2ZXLSpEk2VDKd,Way Up,Spider-Man: Into The Spider-Verse,Soundtrack,0.03,0.585,153773.0,0.941,8.41e-06,10,0.196,-3.278,0,0.145,130.024,4,0.45,35s58BRTGAEWztPo9WqCIs,2018-12-14
4Uy3kNxW2kB8AEoXljEcth,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Spider-Man: Into The Spider-Verse,Soundtrack,0.0166,0.766,174893.0,0.881,2.3e-06,9,0.347,-5.158,0,0.137,112.027,5,0.674,35s58BRTGAEWztPo9WqCIs,2018-12-14
6VS7wKwtvL2FvTupYSWZ9e,Invincible,Spider-Man: Into The Spider-Verse,Soundtrack,0.141,0.724,196387.0,0.6,0.000218,10,0.104,-4.391,0,0.29,86.984,4,0.466,35s58BRTGAEWztPo9WqCIs,2018-12-14
6V81K1OcvYgHEnCA6A2Qx9,Start a Riot,Spider-Man: Into The Spider-Verse,Soundtrack,0.0128,0.728,171467.0,0.727,0.0,2,0.0882,-3.585,1,0.206,143.144,4,0.89,35s58BRTGAEWztPo9WqCIs,2018-12-14
6rz0dTA0PdhXImFV5EjM0w,Hide (feat. Seezyn),Spider-Man: Into The Spider-Verse,Soundtrack,0.0622,0.715,205800.0,0.639,0.0,5,0.157,-5.017,0,0.0752,149.996,4,0.151,35s58BRTGAEWztPo9WqCIs,2018-12-14
2CWOMDYFK4Ef3867nEhnVM,Memories,Spider-Man: Into The Spider-Verse,Soundtrack,0.0519,0.567,199147.0,0.651,0.0,5,0.183,-7.146,0,0.0554,93.989,4,0.519,35s58BRTGAEWztPo9WqCIs,2018-12-14
0vkzRCT7wzqWCFJw5TN1MQ,Save The Day (feat. Coi Leray & LouGotCash),Spider-Man: Into The Spider-Verse,Soundtrack,0.00391,0.871,178720.0,0.751,0.0,6,0.0853,-8.042,0,0.0788,139.984,4,0.787,35s58BRTGAEWztPo9WqCIs,2018-12-14
5F2AuFzEiuAQD0JVNjVJQz,Let Go,Spider-Man: Into The Spider-Verse,Soundtrack,0.463,0.764,177653.0,0.725,5.91e-06,7,0.109,-8.812,1,0.0576,100.063,4,0.0794,35s58BRTGAEWztPo9WqCIs,2018-12-14
3vWzyGTu6Ovo1GdrcJqH6e,Scared of the Dark (feat. XXXTENTACION),Spider-Man: Into The Spider-Verse,Soundtrack,0.0468,0.443,233000.0,0.623,0.0,0,0.247,-6.717,0,0.0718,79.365,4,0.156,35s58BRTGAEWztPo9WqCIs,2018-12-14
6kiauSlWtddVQx4JwJx51p,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",Spider-Man: Into The Spider-Verse,Soundtrack,0.176,0.58,219400.0,0.935,0.0,6,0.514,-4.847,0,0.293,129.173,4,0.666,35s58BRTGAEWztPo9WqCIs,2018-12-14
7pBsquIkbED6W6uSQJGbkn,Home,Spider-Man: Into The Spider-Verse,Soundtrack,0.00608,0.604,211360.0,0.736,0.109,10,0.11,-5.596,0,0.0555,118.012,4,0.345,35s58BRTGAEWztPo9WqCIs,2018-12-14
